Protein Complex (201);Description;Read only;Read and write
MG_184_DIMER;adenine-specific DNA modification methylase;;x
MG_358_359_10MER;Holliday junction DNA helicase;;x
MG_352_DIMER;Holliday junction endonuclease;;x
MG_244_DIMER;3-5' helicase;;x
