"id","name","readonly","readwrite","requirement"
"MONOBUTYRIN__c","1-monobutyrin","","x","x"
"MOR__c","morpholine","","x","x"
"MTHF__c","5-Methyltetrahydrofolate","","x","x"
"n2dA__c","2-amino-2'-deoxyadenosine","","x","x"
"n2dAMP__c","2-amino-2'-deoxyadenosine monophosphate","","x","x"
"NA__c","sodium ion","","x","x"
"NAAD__c","nicotinic acid adenine dinucleotide","","x","x"
"NAC__c","nicotinate","","x","x"
"NAD__c","nicotinamide adenine dinucleotide, oxidized","","x","x"
"NADH__c","nicotinamide adenine dinucleotide, reduced","","x","x"
"NADP__c","nicotinamide adenine dinucleotide phosphate, oxidized","","x","x"
"NADPH__c","nicotinamide adenine dinucleotide phosphate, reduced","","x","x"
"NAMN__c","nicotinate/nicotinic acid mononucleotide","","x","x"
"NH3__c","ammonia","","x","x"
"NH4__c","ammonium","","x","x"
"NI__c","nickel","","x","x"
"nisin__c","nisin","","x","x"
"NMN__c","nicotinamide mononucleotide","","x","x"
"norfloxacin__c","Norfloxacin","","x","x"
"novobiocin__c","Novobiocin","","x","x"
"NR__c","Nicotinate D-ribonucleotide","","x","x"
"O2__c","oxygen","","x","x"
"O2edC__c","2'-O-ethyl-2'-deoxycytidine","","x","x"
"O2edCMP__c","2'-O-ethyl-2'-deoxycytidine monophosphate","","x","x"
"O2edT__c","2'-O-ethyl-2'-deoxythymidine","","x","x"
"O2edTMP__c","2'-O-ethyl-2'-deoxythymidine monophosphate","","x","x"
"O2mdC__c","2'-O-methyl-2'-deoxycytidine","","x","x"
"O2mdCMP__c","2'-O-methyl-2'-deoxycytidine monophosphate","","x","x"
"O2mdT__c","2'-O-methyl-2'-deoxythymidine","","x","x"
"O2mdTMP__c","2'-O-methyl-2'-deoxythymidine monophosphate","","x","x"
"O4edT__c","4'-O-ethyl-2'-deoxythymidine","","x","x"
"O4edTMP__c","4'-O-ethyl-2'-deoxythymidine monophosphate","","x","x"
"O4mdT__c","4'-O-methyl-2'-deoxythymidine","","x","x"
"O4mdTMP__c","4'-O-methyl-2'-deoxythymidine monophosphate","","x","x"
"O6edG__c","6'-O-ethyl-2'-deoxyguanosine","","x","x"
"O6edGMP__c","6'-O-ethyl-2'-deoxyguanosine monophosphate","","x","x"
"O6mdG__c","6'-O-methyl-2'-deoxyguanosine","","x","x"
"O6mdGMP__c","6'-O-methyl-2'-deoxyguanosine monophosphate","","x","x"
"OA__c","oxaloacetate","","x","x"
"OCDCA__c","octadecanoate (n-C18:0)","","x","x"
"OCDCEA__c","octadecenoate (n-C18:1)","","x","x"
"ODEC11GP__c","1-octadec-11-enoyl-sn-glycerol 3-phosphate","","x","x"
"ODECG3P__c","1-octadecanoyl-sn-glycerol 3-phosphate","","x","x"
"OH__c","hydoxide anion","","x","x"
"ORN__c","ornithine","","x","x"
"oxo2dA__c","2-hydroxy-2'-deoxyadenosine","","x","x"
"oxo2dAMP__c","2-hydroxy-2'-deoxyadenosine monophosphate","","x","x"
"oxo8dA__c","8-hydroxy-2'-deoxyadenosine","","x","x"
"oxo8dAMP__c","8-hydroxy-2'-deoxyadenosine monophosphate","","x","x"
"oxo8dG__c","8-Oxo-2'-deoxyguanosine; 8-hydroxy-2'-deoxyguanosine","","x","x"
"oxo8dGMP__c","8-Oxo-2'-deoxyguanosine monophosphate; 8-hydroxy-2'-deoxyguanosine monophosphate","","x","x"
"oxoethyl7dG__c","7-(2'-oxoethyl)-2'-deoxyguanosine","","x","x"
"oxoethyl7dGMP__c","7-(2'-oxoethyl)-2'-deoxyguanosine monophosphate","","x","x"
"PA120__c","1,2-didodecanoyl-sn-glycerol 3-phosphate","","x","x"
"PA140__c","1,2-ditetradecanoyl-sn-glycerol 3-phosphate","","x","x"
"PA141__c","1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate","","x","x"
"PA160__c","1,2-dihexadecanoyl-sn-glycerol 3-phosphate","","x","x"
"PA161__c","1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate","","x","x"
"PA180__c","1,2-dioctadecanoyl-sn-glycerol 3-phosphate","","x","x"
"PA181__c","1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate","","x","x"
"PAP__c","Adenosine 3',5'-bisphosphate","","x","x"
"pCHOL__c","phosphoryl-choline","","x","x"
"PDLA5P__c","Pyridoxamine 5'-phosphate","","x","x"
"PEP__c","phosphoenolpyruvate","","x","x"
"PG160__c","Phosphatidylglycerol (dihexadecanoyl, n-C16:0)","","x","x"
"PG161__c","Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)","","x","x"
"PG181__c","Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)","","x","x"
"PGP160__c","Phosphatidylglycerophosphate (dihexadecanoyl, n-C16:0)","","x","x"
"PGP161__c","Phosphatidylglycerophosphate (dihexadec-9-enoyl, n-C16:1)","","x","x"
"PGP181__c","Phosphatidylglycerophosphate (dioctadec-11-enoyl, n-C18:1)","","x","x"
"PHE__c","L-phenylalanine","","x","x"
"PhePhe__c","L-phenylalanyl-L-phenylalanine","","x","x"
"PHPYR__c","phenylpyruvate","","x","x"
"PI__c","phosphate","","x","x"
"PL5P__c","Pyridoxal 5'-phosphate","","x","x"
"POE_SORBITAN__c","Polyoxyethylene (20) sorbitan","","x","x"
"PPAA__c","Phosphonoacetaldehyde","","x","x"
"PPGPP__c","Guanosine 3',5'-bis(diphosphate)","","x","x"
"PPHG__c","protoporphyrinogen IX","","x","x"
"PPI__c","diphosphate","","x","x"
"PPIX__c","protoporphyrin IX","","x","x"
"PRO__c","L-Proline","","x","x"
"proflavine__c","Proflavine","","x","x"
"ProPro__c","L-prolyl-L-proline","","x","x"
"PRPP__c","5-Phospho-alpha-D-ribose 1-diphosphate","","x","x"
"pSER__c","phosphoserine","","x","x"
"PSIURI__c","pseudouridine","","x","x"
"PSIURIMP__c","pseudouridine monophoshate","","x","x"
"pTHR__c","phosphothreonine","","x","x"
"PTRC__c","putrescine","","x","x"
"pTYR__c","Phosphotyrosine","","x","x"
"putdT__c","alpha-putrescinyl-2'-deoxythymidine","","x","x"
"putdTMP__c","alpha-putrescinyl-2'-deoxythymidine monophosphate","","x","x"
"PYDX__c","Pyridoxal","","x","x"
"PYR__c","pyruvate","","x","x"
"R1P__c","alpha-D-Ribose 1-phosphate","","x","x"
"R5P__c","alpha-D-Ribose 5-phosphate","","x","x"
"RBFLVRD__c","riboflavin, reduced","","x","x"
"rhodamine6G__c","Rhodamine 6G","","x","x"
"RIB__c","D-ribose","","x","x"
"RIBFLV__c","riboflavin, oxidized","","x","x"
"RL5P__c","D-Ribulose 5-phosphate","","x","x"
"s2U__c","2-thiouridine","","x","x"
"s2UMP__c","2-thiouridine monophosphate","","x","x"
"s4U__c","4-thiouridine","","x","x"
"s4UMP__c","4-thiouridine monophosphate","","x","x"
"S7P__c","D-sedoheptulose-7-phosphate","","x","x"
"SALA__c","3-Sulfino-L-alanine","","x","x"
"SBT__c","D-Sorbitol","","x","x"
"SBT6P__c","D-Sorbitol 6-phosphate","","x","x"
"SER__c","L-Serine","","x","x"
"SerSer__c","L-seryl-L-serine","","x","x"
"SNGLYP__c","sn-glycerol-1-phosphate","","x","x"
"SO2__c","sulfur dioxide","","x","x"
"SO4__c","sulphate","","x","x"
"SPMD__c","spermidine","","x","x"
"STEROL__c","cholesterol","","x","x"
"T3P1__c","D-glyceraldehdye-3-phosphate","","x","x"
"T3P2__c","Dihydroxyacetone phosphate","","x","x"
"TAG16P__c","D-Tagatose 1,6-biphosphate","","x","x"
"TAG6P__c","D-Tagatose 6-phosphate","","x","x"
"tBHP__c","tert-butylhydroperoxide","","x","x"
"tBOH__c","tert-Butanol","","x","x"
"TDECEG3P__c","1-tetradec-7-enoyl-sn-glycerol 3-phosphate","","x","x"
"TDECG3P__c","1-tetradecanoyl-sn-glycerol 3-phosphate","","x","x"
"TDP__c","TDP","","x","x"
"tetraphenylphosphonium__c","tetraphenylphosphonium","","x","x"
"THF__c","5,6,7,8-Tetrahydrofolate","","x","x"
"THM__c","thiamine","","x","x"
"THMP__c","Thiamin monophosphate","","x","x"
"THR__c","L-Threonine","","x","x"
"ThrThr__c","L-threonyl-L-threonine","","x","x"
"THY__c","thymine","","x","x"
"TPP__c","thiamine diphosphate","","x","x"
"TRIBUTYRIN__c","tributyrin; 1,3-Di(butanoyloxy)propan-2-yl butanoate; butyrin","","x","x"
"TRILAURIN__c","trilaurin","","x","x"
"TRIMYRISTIN__c","trimyristin; 1,3-Di(tetradecanoyloxy)propan-2-yl tetradecanoate; glyceryl trimyristate","","x","x"
"TRIOLEIN__c","triolein","","x","x"
"TRIPALMITIN__c","tripalmitin; 1,2,3-Trihexadecanoylglycerol; Glyceryl Tripalmitate; Glycerol Tripalmitate","","x","x"
"TRISTEARIN__c","Tristearin","","x","x"
"TRI_HDCEA_IN__c","triacylglycerol of {Hexadecenoate acid}","","x","x"
"TRI_TTDCEA_IN__c","triacylglycerol of {tetradecenoic acid}","","x","x"
"TRP__c","L-tryptophan","","x","x"
"TrpTrp__c","L-trytophanyl-L-trytophan","","x","x"
"TTDCA__c","tetradecanoate (n-C14:0)","","x","x"
"TTDCEA__c","tetradecenoate (n-C14:1)","","x","x"
"TTP__c","TTP","","x","x"
"TWEEN80__c","Tween 80; Polyoxyethylene (20) sorbitan monooleate; polysorbate 80","","x","x"
"TYR__c","L-tyrosine","","x","x"
"TyrTyr__c","L-tyrosyl-L-tyrosine","","x","x"
"U23CMP__c","2',3'-Cyclic UMP","","x","x"
"U3MP__c","3'-UMP","","x","x"
"UDP__c","UDP","","x","x"
"UDPG__c","UDP-glucose","","x","x"
"UDPGAL__c","UDP-galactose","","x","x"
"UDPGALF__c","UDP-D-galacto-1,4-furanose","","x","x"
"Um__c","2'-O-methyluridine","","x","x"
"UmMP__c","2'-O-methyluridine monophosphate","","x","x"
"UMP__c","UMP","","x","x"
"URA__c","uracil","","x","x"
"URI__c","uridine","","x","x"
"UTP__c","UTP","","x","x"
"VAL__c","L-Valine","","x","x"
"ValVal__c","L-valyl-L-valine","","x","x"
"vinyl_chloride__c","Vinylchloride","","x","x"
"X5P__c","D-Xylulose 5-phosphate","","x","x"
"XAN__c","xanthine","","x","x"
"XTSN__c","xanthosine","","x","x"
"ZN__c","zinc ion","","x","x"
"A23CMP__e","2',3'-Cyclic AMP","","x","x"
"A3MP__e","3'-AMP","","x","x"
"AC__e","acetate","","x","x"
"ACAL__e","acetaldehyde","","x","x"
"ACCOA__e","Acetyl-CoA","","x","x"
"acriflavine__e","Acriflavine","","x","x"
"ACTP__e","Acetyl phosphate","","x","x"
"AD__e","adenine","","x","x"
"ADN__e","adenosine","","x","x"
"ADP__e","ADP","","x","x"
"AEPP__e","2-aminoethylphosphonate","","x","x"
"AHCYS__e","S-Adenosyl-L-homocysteine","","x","x"
"AKG__e","2-Oxoglutarate","","x","x"
"ALA__e","L-alanine","","x","x"
"AlaAla__e","L-alanyl-L-alanine","","x","x"
"AMET__e","S-Adenosyl-L-methionine","","x","x"
"aminodimethylaniline__e","N,N'-dimethyl-p-phenylenediamine","","x","x"
"AMP__e","AMP","","x","x"
"AMP_Lysine__e","AMP-Lysine","","x","x"
"AMP_Mor__e","AMP-morpholidate","","x","x"
"AMP_NH2__e","AMP-NH2","","x","x"
"anthranilate__e","2-aminobenzoic acid","","x","x"
"ARG__e","L-Arginine","","x","x"
"ArgArg__e","L-arginyl-L-arginine","","x","x"
"ASN__e","L-Asparagine","","x","x"
"AsnAsn__e","L-asparaginyl-L-asparagine","","x","x"
"ASP__e","L-Aspartate","","x","x"
"AspAsp__e","L-aspartyl-L-aspartic Acid","","x","x"
"ATP__e","ATP","","x","x"
"aza6dT__e","6-aza-2'-deoxythymidine","","x","x"
"aza6dTMP__e","6-aza-2'-deoxythymidine monophosphate","","x","x"
"aza8dA__e","8-aza-2'-deoxyadenosine","","x","x"
"aza8dAMP__e","8-aza-2'-deoxyadenosine monophosphate","","x","x"
"benzalkonium__e","Benzalkonium","","x","x"
"berberine__e","Berberine","","x","x"
"BUT__e","butyric acid, butanoic acid","","x","x"
"C23CMP__e","2',3'-Cyclic CMP","","x","x"
"C3MP__e","3'-CMP","","x","x"
"c5dU__e","5-Carbouy-2'-deoxyuridine","","x","x"
"c5dUMP__e","5-Carbouy-2'-deoxyuridine monophosphate","","x","x"
"CA__e","calcium ion","","x","x"
"CAP__e","carbamoyl phosphate","","x","x"
"carbamoylmethyl6dA__e","N6-carbamoylmethyl-2'-deoxyadenosine","","x","x"
"carbamoylmethyl6dAMP__e","N6-carbamoylmethyl-2'-deoxyadenosine monophosphate","","x","x"
"CDP__e","CDP","","x","x"
"CDPDG120__e","CDP-1,2-didodecanoylglycerol","","x","x"
"CDPDG140__e","CDP-1,2-ditetradecanoylglycerol","","x","x"
"CDPDG141__e","CDP-1,2-ditetradec-7-enoylglycerol","","x","x"
"CDPDG160__e","CDP-1,2-dihexadecanoylglycerol","","x","x"
"CDPDG161__e","CDP-1,2-dihexadec-9-enoylglycerol","","x","x"
"CDPDG180__e","CDP-1,2-dioctadecanoylglycerol","","x","x"
"CDPDG181__e","CDP-1,2-dioctadec-11-enoylglycerol","","x","x"
"Ceramide16__e","Ceramide (d18:1/16:0)","","x","x"
"CH3OH__e","methanol","","x","x"
"chloroacetaldehyde__e","chloroacetaldehyde","","x","x"
"chloroethylene_oxide__e","chloroethylene oxide","","x","x"
"CHOL__e","choline","","x","x"
"CHP__e","cumene hydroperoxide","","x","x"
"ciprofloxacin__e","ciprofloxacin","","x","x"
"CITR__e","L-citrulline","","x","x"
"CL__e","chloride ion","","x","x"
"CL160__e","cardiolipin (tetrahexadecanoyl, n-C16:0)","","x","x"
"CL161__e","cardiolipin (tetrahexadec-9-enoyl, n-C16:1)","","x","x"
"CL181__e","cardiolipin (tetraoctadec-11-enoyl, n-C18:1)","","x","x"
"cmnm5s2U__e","5-carboxymethylaminomethyl-2-thiouridine","","x","x"
"cmnm5s2UMP__e","5-carboxymethylaminomethyl-2-thiouridine monophosphate","","x","x"
"CMP__e","CMP","","x","x"
"CO__e","cobalt ion","","x","x"
"CO2__e","carbon dioxide","","x","x"
"COA__e","coenzyme A","","x","x"
"crystalViolet__e","Crystal violet","","x","x"
"CTP__e","CTP","","x","x"
"CU__e","cupric ion","","x","x"
"cyclobutane_dCdC__e","cyclobutane 2'-deoxycytidine dimer","","x","x"
"cyclobutane_dCdT__e","cyclobutane 2'-deoxycytidine 2'-deoxythymidine ","","x","x"
"cyclobutane_dCMPdCMP__e","cyclobutane 2'-deoxycytidine monophosphate dimer","","x","x"
"cyclobutane_dCMPdTMP__e","cyclobutane 2'-deoxycytidine monophosphate 2'-deoxythymidine  monophosphate","","x","x"
"cyclobutane_dTdC__e","cyclobutane 2'-deoxythymidine 2'-deoxycytidine","","x","x"
"cyclobutane_dTdT__e","cyclobutane 2'-deoxythymidine dimer","","x","x"
"cyclobutane_dTMPdCMP__e","cyclobutane 2'-deoxythymidine monophosphate 2'-deoxycytidine monophosphate","","x","x"
"cyclobutane_dTMPdTMP__e","cyclobutane 2'-deoxythymidine monophosphate dimer","","x","x"
"cyclodA__e","8,5'-cyclo-2'-deoxyadenosine","","x","x"
"cyclodAMP__e","8,5'-cyclo-2'-deoxyadenosine monophosphate","","x","x"
"cyclodG__e","8,5'-cyclo-2'-deoxyguanosine","","x","x"
"cyclodGMP__e","8,5'-cyclo-2'-deoxyguanosine monophosphate","","x","x"
"CYS__e","L-Cysteine","","x","x"
"CysCys__e","L-cysteinyl-L-cysteine","","x","x"
"CYTD__e","cytidine","","x","x"
"c_di_AMP__e","Cyclic-di-adenylate","","x","x"
"DA__e","deoxyadenosine","","x","x"
"DADP__e","dADP","","x","x"
"DAG160__e","Diacylglycerol (n-16:0)","","x","x"
"DAG161__e","Diacylglycerol (n-16:1)","","x","x"
"DAG181__e","Diacylglycerol (n-18:1)","","x","x"
"DALA__e","D-alanine","","x","x"
"DAMP__e","dAMP","","x","x"
"dApdAp__e","dAp-dAp","","x","x"
"DATP__e","dATP","","x","x"
"DC__e","deoxycytidine","","x","x"
"dC64dC__e","2'-deoxycytidine-[6,4]-2'-deoxycytidine","","x","x"
"dC64dC_dewar__e","2'-deoxycytidine-[6,4]-2'-deoxycytidine dewar product","","x","x"
"dC64dT__e","2'-deoxycytidine-[6,4]-2'-deoxythymidine","","x","x"
"dC64dT_dewar__e","2'-deoxycytidine-[6,4]-2'-deoxythymidine dewar product","","x","x"
"DCDP__e","dCDP","","x","x"
"DCMP__e","dCMP","","x","x"
"dCMP64dCMP__e","2'-deoxycytidine monophosphate-[6,4]-2'-deoxycytidine monophosphate","","x","x"
"dCMP64dCMP_dewar__e","2'-deoxycytidine monophosphate-[6,4]-2'-deoxycytidine monophosphate dewar product","","x","x"
"dCMP64dTMP__e","2'-deoxycytidine monophosphate-[6,4]-2'-deoxythymidine monophosphate","","x","x"
"dCMP64dTMP_dewar__e","2'-deoxycytidine monophosphate-[6,4]-2'-deoxythymidine monophosphate dewar product","","x","x"
"dCMP_GLYC__e","2-'deoxycytidine monophosphate glycol","","x","x"
"dCpdCp__e","dCp-dCp","","x","x"
"DCTP__e","dCTP","","x","x"
"dC_GLYC__e","2-'deoxycytidine glycol","","x","x"
"DDCA__e","Dodecanoate (n-C12:0)","","x","x"
"DDECG3P__e","1-dodecanoyl-sn-glycerol 3-phosphate","","x","x"
"deoxyG6P__e","2-deoxy-glucose-6-phosphate","","x","x"
"deoxyGLC__e","2-deoxy-glucose","","x","x"
"DG__e","deoxyguanosine","","x","x"
"DGDP__e","dGDP","","x","x"
"DGMP__e","dGMP","","x","x"
"dGpdGp__e","dGp-dGp","","x","x"
"DGTP__e","dGTP","","x","x"
"DHA__e","Dihydroxyacetone","","x","x"
"DHdT__e","5,6-dihydro-2'-deoxythymidine","","x","x"
"DHdTMP__e","5,6-dihydro-2'-deoxythymidine monophosphate","","x","x"
"DHdU__e","5,6-dihydroxy-2'-deoxyuridine","","x","x"
"DHdUMP__e","5,6-dihydroxy-2'-deoxyuridine monophosphate","","x","x"
"DHF__e","dihydrofolate","","x","x"
"dhpdU__e","5'-dihydroxypentyl-2'-deoxyuridine","","x","x"
"dhpdUMP__e","5'-dihydroxypentyl-2'-deoxyuridine monophosphate","","x","x"
"diacylglycerolCys__e","S-diacylglycerol cysteine ","","x","x"
"DIBUTYRIN__e","dibutyrin","","x","x"
"dINS__e","2'-deoxyinosine","","x","x"
"dINSMP__e","2'-deoxyinosine monophosphate","","x","x"
"DMBA__e","dimethylbenzyl alcohol","","x","x"
"doxorubicin__e","Doxorubicin","","x","x"
"DPCOA__e","dephospho-CoA","","x","x"
"DPG__e","3-Phospho-D-glyceroyl phosphate","","x","x"
"DR1P__e","2-Deoxy-D-ribose 1-phosphate","","x","x"
"DR5P__e","2-Deoxy-D-ribose 5-phosphate","","x","x"
"DT__e","thymidine","","x","x"
"dT64dC__e","2'-deoxythymidine-[6,4]-2'-deoxycytidine","","x","x"
"dT64dC_dewar__e","2'-deoxythymidine-[6,4]-2'-deoxycytidine dewar product","","x","x"
"dT64dT__e","2'-deoxythymidine-[6,4]-2'-deoxythymidine","","x","x"
"dT64dT_dewar__e","2'-deoxythymidine-[6,4]-2'-deoxythymidine dewar product","","x","x"
"DTDP__e","dTDP","","x","x"
"DTMP__e","dTMP","","x","x"
"dTMP64dCMP__e","2'-deoxythymidine monophosphate-[6,4]-2'-deoxycytidine monophosphate","","x","x"
"dTMP64dCMP_dewar__e","2'-deoxythymidine monophosphate-[6,4]-2'-deoxycytidine monophosphate dewar product","","x","x"
"dTMP64dTMP__e","2'-deoxythymidine monophosphate-[6,4]-2'-deoxythymidine monophosphate","","x","x"
"dTMP64dTMP_dewar__e","2'-deoxythymidine monophosphate-[6,4]-2'-deoxythymidine monophosphate dewar product","","x","x"
"dTMP_GLYC__e","2'-deoxythymidine monophosphate glycol","","x","x"
"dTpdTp__e","dTp-dTp","","x","x"
"DTTP__e","dTTP","","x","x"
"dT_GLYC__e","2'-deoxythymidine glycol","","x","x"
"DU__e","deoxyuridine","","x","x"
"DUDP__e","dUDP","","x","x"
"DUMP__e","dUMP","","x","x"
"DUTP__e","dUTP","","x","x"
"dXAN__e","2'-deoxyxanthosine","","x","x"
"dXANMP__e","2'-deoxyxanthosine monophosphate","","x","x"
"e1dA__e","1-ethyl-2'-deoxyadenosine","","x","x"
"e1dAMP__e","1-ethyl-2'-deoxyadenosine monophosphate","","x","x"
"e1dG__e","1-ethyl-2'-deoxyguanosine","","x","x"
"e1dGMP__e","1-ethyl-2'-deoxyguanosine monophosphate","","x","x"
"e3dA__e","3-ethyl-2'-deoxyadenosine","","x","x"
"e3dAMP__e","3-ethyl-2'-deoxyadenosine monophosphate","","x","x"
"e3dC__e","3-ethyl-2'-deoxycytidine","","x","x"
"e3dCMP__e","3-ethyl-2'-deoxycytidine monophosphate","","x","x"
"e3dG__e","3-ethyl-2'-deoxyguanosine","","x","x"
"e3dGMP__e","3-ethyl-2'-deoxyguanosine monophosphate","","x","x"
"e3dT__e","3'-ethyl-2'-deoxythymidine","","x","x"
"e3dTMP__e","3'-ethyl-2'-deoxythymidine monophosphate","","x","x"
"e4dC__e","4-ethyl-2'-deoxycytidine","","x","x"
"e4dCMP__e","4-ethyl-2'-deoxycytidine monophosphate","","x","x"
"E4P__e","D-Erythrose 4-phosphate","","x","x"
"e5dC__e","5-ethyl-2'-deoxycytidine","","x","x"
"e5dCMP__e","5-ethyl-2'-deoxycytidine monophosphate","","x","x"
"e6dA__e","6-ethyl-2'-deoxyadenosine","","x","x"
"e6dAMP__e","6-ethyl-2'-deoxyadenosine monophosphate","","x","x"
"e7dA__e","7-ethyl-2'-deoxyadenosine","","x","x"
"e7dAMP__e","7-ethyl-2'-deoxyadenosine monophosphate","","x","x"
"e7dG__e","7-ethyl-2'-deoxyguanosine","","x","x"
"e7dGMP__e","7-ethyl-2'-deoxyguanosine monophosphate","","x","x"
"e8dG__e","8-ethyl-2'-deoxyguanosine","","x","x"
"e8dGMP__e","8-ethyl-2'-deoxyguanosine monophosphate","","x","x"
"enoxacin__e","Enoxacin","","x","x"
"epsilon1N2dG__e","1,N2-etheno-2'-deoxyguanosine","","x","x"
"epsilon1N2dGMP__e","1,N2-etheno-2'-deoxyguanosine monophosphate","","x","x"
"epsilon1N6dA__e","1,N6-etheno-2'-deoxyadenosine","","x","x"
"epsilon1N6dAMP__e","1,N6-etheno-2'-deoxyadenosine monophosphate","","x","x"
"epsilon3N4dC__e","3,N4-etheno-2'-deoxycytidine","","x","x"
"epsilon3N4dCMP__e","3,N4-etheno-2'-deoxycytidine monophosphate","","x","x"
"epsilonN23dG__e","N2,3-etheno-2'-deoxyguanosine","","x","x"
"epsilonN23dGMP__e","N2,3-etheno-2'-deoxyguanosine monophosphate","","x","x"
"ethidium__e","Ethidium","","x","x"
"ETN__e","ethanolamine","","x","x"
"F1P__e","D-Fructose 1-phosphate","","x","x"
"f5dU__e","5-formyl-2'-deoxyuridine","","x","x"
"f5dUMP__e","5-formyl-2'-deoxyuridine monophosphate","","x","x"
"F6P__e","D-Fructose 6-phosphate","","x","x"
"FAD__e","flavin adenine dinucleotide, oxidized","","x","x"
"FADH2__e","flavin adenine dinucleotide, reduced","","x","x"
"FALD__e","formaldehyde","","x","x"
"FAPydA__e","N4-(2-Deoxy-alpha,beta-D-erythro-pentofuranosyl)-4,6-diamino-5-formamidopyrimidine","","x","x"
"FAPydAMP__e","N4-(2-Deoxy-alpha,beta-D-erythro-pentofuranosyl)-4,6-diamino-5-formamidopyrimidine monophosphate","","x","x"
"FAPydG__e","N6-(2-Deoxy-α,β-d-erythro-pentofuranosyl)-2,6-diamino-4-hydroxy-5-formamidopyrimidine","","x","x"
"FAPydGMP__e","N6-(2-Deoxy-α,β-d-erythro-pentofuranosyl)-2,6-diamino-4-hydroxy-5-formamidopyrimidine monophosphate","","x","x"
"FDP__e","D-Fructose 1,6-bisphosphate","","x","x"
"FE2__e","ferrous iron","","x","x"
"FE3__e","ferric iron","","x","x"
"FMET__e","N-Formyl-L-methionine","","x","x"
"FMN__e","flavin mononucleotide, oxidized","","x","x"
"FMNH2__e","flavin mononucleotide, reduced","","x","x"
"FOR__e","Formate","","x","x"
"FRU__e","D-Fructose","","x","x"
"FTHF10__e","10-formyl-tetrahydrofolate","","x","x"
"FTHF5__e","5-formyltetrahydrofolate","","x","x"
"FUC1P__e","L-fucose 1-phosphate","","x","x"
"G1P__e","D-Glucose 1-phosphate","","x","x"
"G23CMP__e","2',3'-Cyclic GMP","","x","x"
"G2P__e","D-Glycerate 2-phosphate","","x","x"
"G3MP__e","3'-GMP","","x","x"
"G3P__e","3-Phospho-D-glycerate","","x","x"
"G6P__e","D-Glucose 6-phosphate","","x","x"
"GalCer16__e","galactosyl-β-Ceramide (d18:1/16:0)","","x","x"
"GalDAG160__e","galactosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GalDAG161__e","galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GalDAG181__e","galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GalGalCer16__e","galactosyl-α1-4-galactosyl-β-Ceramide (d18:1/16:0)","","x","x"
"GalGalDAG160__e","galactosyl-α1-4-galactosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GalGalDAG161__e","galactosyl-α1-4-galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GalGalDAG181__e","galactosyl-α1-4-galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GalGalGalDAG160__e","galactosyl-α1-4-galactosyl-β1-4-galactosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GalGalGalDAG161__e","galactosyl-α1-4-galactosyl-β1-4-galactosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GalGalGalDAG181__e","galactosyl-α1-4-galactosyl-β1-4-galactosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GalGalGlcCer16__e","galactosyl-α1-4-galactosyl-β1-4-glucosyl-β-Ceramide (d18:1/16:0)","","x","x"
"GalGalGlcDAG160__e","galactosyl-α1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GalGalGlcDAG161__e","galactosyl-α1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GalGalGlcDAG181__e","galactosyl-α1-4-galactosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GalGlcCer16__e","galactosyl-β1-4-glucosyl-β-Ceramide (d18:1/16:0)","","x","x"
"GalGlcDAG160__e","galactosyl-β1-4-glucosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GalGlcDAG161__e","galactosyl-β1-4-glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
"GalGlcDAG181__e","galactosyl-β1-4-glucosyl-β-diacylglycerol(18:1(11Z)/18:1(11Z))","","x","x"
"GDP__e","GDP","","x","x"
"GDPTP__e","Guanosine 3'-diphosphate 5'-triphosphate","","x","x"
"GL__e","glycerol","","x","x"
"GL2P__e","Glycerol 2-phosphate","","x","x"
"GL3P__e","Glycerol 3-phosphate","","x","x"
"GLC__e","D-Glucose","","x","x"
"GlcCer16__e","glucosyl-β-Ceramide (d18:1/16:0)","","x","x"
"GlcDAG160__e","glucosyl-β-diacylglycerol(16:0/16:1(9Z))","","x","x"
"GlcDAG161__e","glucosyl-β-diacylglycerol(16:1(9Z)/16:1(9Z))","","x","x"
