Protein Monomer (482);Description;Read only;Read and write
MG_235_MONOMER;apurinic endonuclease;;x
MG_498_MONOMER;formamidopyrimidine-DNA glycosylase;;x
MG_190_MONOMER;phosphoesterase;;x
MG_254_MONOMER;DNA ligase, NAD-dependent;;x
MG_001_MONOMER;DNA polymerase III, beta subunit;;x
MG_438_MONOMER;type I restriction modification DNA specificity domain protein;;x
MG_262_MONOMER;polI-like 5'-3' exonuclease, putative;;x
MG_339_MONOMER;recombination protein, strand exchange;;x
MG_097_MONOMER;uracil-DNA glycosylase, putative;;x
